Stage11,さかな,,,,,,
5,5,5,,,,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,c/e/e/e/e,c/e/e/e/e,.,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,c/e/e/e/e,c/e/e/e/e,.,,
c/e/e/e/e,c/e/e/e/e,c/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
c/s/e/e/e,c/e/e/e/e,c/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
c/e/e/e/e,c/e/e/e/e,c/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
,,,,,,,
Stage12,いかり,,,,,,.
5,5,5,,,,,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
a/c/e/e/e,c/a/a/a/c,c/c/c/c/c,c/a/a/a/c,a/c/e/e/e,.,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
,,,,,,,
Stage13,バナナ,,,,,,
5,5,5,,,,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,.
c/e/e/e/e,c/c/e/e/e,c/c/c/c/c,a/c/c/a/c,e/e/e/e/e,.,,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,.
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,.
,,,,,,,.
Stage14,木,,,,,,
5,5,5,,,,,
e/e/e/e/e,e/e/e/e/e,a/a/c/e/e,e/e/e/e/e,e/e/e/e/e,.,,
e/e/e/e/e,a/a/c/e/e,a/a/c/c/e,a/a/c/e/e,e/e/e/e/e,.,,
a/a/c/e/e,a/a/c/c/e,c/c/c/c/c,a/a/c/c/e,a/a/c/e/e,.,,
e/e/e/e/e,a/a/c/e/e,a/a/c/c/e,a/a/c/e/e,e/e/e/e/e,.,,
e/e/e/e/e,e/e/e/e/e,a/a/c/e/e,e/e/e/e/e,e/e/e/e/e,.,,
,,,,,,,
Stage15,きのこ,,,,,,
5,5,5,,,,,
e/e/e/e/e,a/a/c/c/e,a/a/c/c/e,a/a/c/c/e,e/e/e/e/e,.,,
a/a/c/c/e,a/a/c/c/c,a/a/c/c/c,a/a/c/c/c,a/a/c/c/e,.,,
a/a/c/c/e,a/a/c/c/c,a/c/c/c/c,c/a/c/c/c,a/a/c/c/e,.,,
a/a/c/c/e,a/a/c/c/c,a/a/c/c/c,a/a/c/c/c,a/a/c/c/e,.,,
e/e/e/e/e,a/a/c/c/e,a/a/c/c/e,a/a/c/c/e,e/e/e/e/e,.,,
,,,,,,,
Stage16,かたつむり,,,,,,
5,5,5,,,,,
e/e/e/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,e/e/e/e/e,.,,
e/e/e/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/c/s,.,,
c/e/e/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/c/e,.,,
e/e/e/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/c/s,.,,
e/e/e/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,e/e/e/e/e,.,,
,,,,,,,
Stage17,おばけ,,,,,,
5,5,5,,,,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
a/c/c/e/e,a/a/c/c/s,a/c/c/c/c,a/c/c/c/c,e/e/e/e/e,.,,
e/e/e/e/e,a/a/c/c/c,a/c/c/c/c,a/c/c/c/c,c/c/e/e/e,.,,
a/c/c/e/e,a/a/c/c/s,a/c/c/c/c,a/c/c/c/c,e/e/e/e/e,.,,
e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
,,,,,,,
Stage18,カエル ,,,,,,
5,5,5,,,,,
c/c/e/e/e,c/c/e/e/e,c/c/e/e/e,c/c/e/e/e,c/c/e/e/e,.,,
c/c/e/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/e/e,c/c/e/e/e,.,,
c/e/e/e/e,c/c/c/e/e,c/c/c/c/e,c/c/c/e/e,c/e/e/e/e,.,,
a/a/c/c/e,c/c/c/c/e,a/a/c/c/e,c/c/c/c/e,a/a/c/c/e,.,,
a/a/c/c/s,a/a/c/c/c,a/a/c/c/c,a/a/c/c/c,a/a/c/c/s,.,,
,,,,,,,
Stage19,くらげ,,,,,,
5,5,5,,,,,
e/e/e/e/e,a/a/c/c/e,a/a/c/c/e,c/a/c/c/e,e/e/e/e/e,.,,
c/a/c/c/e,a/c/c/c/c,a/a/c/c/c,a/c/c/c/c,a/a/c/c/e,.,,
a/a/c/c/e,a/a/c/c/c,a/a/c/c/c,a/a/c/c/c,a/a/c/c/e,.,,
a/a/c/c/e,a/c/c/c/c,a/a/c/c/c,a/c/c/c/c,c/a/c/c/e,.,,
e/e/e/e/e,c/a/c/c/e,a/a/c/c/e,a/a/c/c/e,e/e/e/e/e,.,,
,,,,,,,
Stage20,犬,,,,,,
5,5,5,,,,,
c/c/e/e/e,c/c/e/e/e,c/e/e/e/e,e/e/e/e/e,e/e/e/e/e,.,,
c/c/e/e/e,c/c/c/e/e,c/c/c/e/e,c/c/c/c/c,e/e/e/e/e,.,,
c/e/e/e/e,c/c/c/e/e,c/c/c/c/e,c/c/c/c/e,a/c/s/e/e,.,,
e/e/e/e/e,c/c/c/c/c,c/c/c/c/e,c/c/c/e/e,c/c/e/e/e,.,,
e/e/e/e/e,e/e/e/e/e,a/c/s/e/e,c/c/e/e/e,c/s/e/e/e,.,,
,,,,,,,
EXTRA2,,,,,,,
5,5,5,,,,,
