Stage41,,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
c/e/e/e/e/e,c/e/e/e/e/e,c/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
c/e/e/e/e/e,c/e/e/e/e/e,c/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
c/e/e/e/e/e,c/s/e/e/e/e,c/a/c/e/e/e,a/a/a/c/e/e,a/a/a/a/c/e,a/a/a/a/a/c,.
c/e/e/e/e/e,c/e/e/e/e/e,c/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
c/e/e/e/e/e,c/e/e/e/e/e,c/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage42,,,,,,
6,6,6,,,,
a/c/c/e/e/e,c/c/c/c/e/e,c/c/c/c/e/e,c/c/c/c/e/e,a/c/c/e/e/e,e/e/e/e/e/e,.
c/c/c/c/e/e,c/c/c/c/e/e,c/c/c/c/e/e,c/c/c/c/e/e,c/c/c/c/e/e,e/e/e/e/e/e,.
c/c/c/c/e/e,c/c/c/c/a/c,c/c/c/c/c/c,c/c/c/c/a/c,c/c/c/c/e/e,e/e/e/e/e/e,.
c/c/c/c/e/e,c/c/c/c/e/e,c/c/c/c/e/e,c/c/c/c/e/e,c/c/c/c/e/e,e/e/e/e/e/e,.
a/c/c/e/e/e,c/c/c/c/e/e,c/c/c/c/e/e,c/c/c/c/e/e,a/c/c/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage43,,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,a/a/c/c/c/e,a/a/c/c/c/e,e/e/e/e/e/e,a/a/a/c/c/e,a/a/a/c/c/e,.
e/e/e/e/e/e,a/a/c/c/c/e,a/a/c/c/c/e,c/c/c/c/c/e,a/a/a/c/c/e,a/a/a/c/c/e,.
e/e/e/e/e/e,a/a/c/c/c/e,a/a/c/c/c/e,a/a/c/c/c/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage44,,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,a/s/s/s/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
a/a/c/e/e/e,e/e/e/e/e/e,s/s/s/s/s/e,a/s/s/s/e/e,a/a/s/e/e/e,e/e/e/e/e/e,.
a/a/c/e/e/e,a/a/c/e/e/e,s/s/s/s/s/e,a/s/s/s/e/e,a/s/s/s/e/e,a/a/c/e/e/e,.
a/a/c/e/e/e,e/e/e/e/e/e,s/s/s/s/s/e,a/s/s/s/e/e,a/a/s/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/s/s/s/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage45,,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/e/e/e/e,.
e/e/e/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/c/s/e,c/c/c/e/e/e,c/c/e/e/e/e,.
c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/c/e,c/c/c/e/e/e,c/c/c/e/e/e,e/e/e/e/e/e,.
c/c/c/e/e/e,c/c/c/e/c/e,c/c/c/e/e/e,c/c/c/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
c/c/c/c/e/e,c/c/c/e/e/e,c/c/c/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage46,,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,c/c/e/e/e/e,a/a/c/e/e/e,a/a/c/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
c/c/e/e/e/e,a/a/c/e/e/e,a/a/a/c/e/e,a/a/a/c/e/e,a/a/c/e/e/e,a/a/c/e/e/e,.
c/c/e/e/e/e,a/a/c/e/e/e,a/a/a/c/e/e,a/a/a/c/e/e,a/a/c/e/e/e,a/a/c/e/e/e,.
e/e/e/e/e/e,c/c/e/e/e/e,a/a/c/e/e/e,a/a/c/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,c/c/e/e/e/e,c/c/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage47,,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,.
e/e/e/e/e/e,c/c/c/c/e/e,c/e/e/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,.
e/e/e/e/e/e,a/a/a/a/c/e,e/e/e/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,c/c/c/e/e/e,.
e/e/e/e/e/e,a/a/a/a/c/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,c/c/c/c/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,c/e/e/e/e/e,c/e/e/e/e/e,c/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage48,,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,a/a/c/c/c/e,a/a/c/c/c/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,a/a/c/c/s/e,c/c/c/c/c/c,c/c/c/c/c/e,a/a/c/c/e/e,c/c/c/c/e/e,.
a/c/c/c/e/e,a/a/c/c/c/e,a/a/c/c/c/c,a/a/c/c/c/e,a/a/c/c/e/e,a/a/c/c/e/e,.
e/e/e/e/e/e,a/a/c/c/s/e,c/c/c/c/c/c,c/c/c/c/c/e,a/a/c/c/e/e,c/c/c/c/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/a/c/c/c/e,a/a/c/c/c/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage49,,,,,,
6,6,6,,,,
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,a/c/c/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,a/c/c/e/e/e,e/e/e/e/e/e,.
a/c/c/e/e/e,c/a/a/c/e/e,a/a/a/a/c/e,a/a/a/a/c/e,c/a/a/c/e/e,a/c/c/e/e/e,.
a/c/c/e/e/e,c/a/a/c/e/e,a/a/a/a/c/e,a/a/a/a/c/e,c/a/a/c/e/e,a/c/c/e/e/e,.
e/e/e/e/e/e,a/c/c/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,a/c/c/e/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,.
,,,,,,
Stage50,,,,,,
6,6,6,,,,
e/e/e/e/e/e,a/a/c/c/e/e,e/e/e/e/e/e,e/e/e/e/e/e,a/a/c/c/e/e,e/e/e/e/e/e,.
e/e/e/e/e/e,a/a/a/c/a/s,a/a/a/c/c/c,a/a/a/c/c/c,a/a/a/c/a/s,e/e/e/e/e/e,.
c/e/e/e/e/e,a/c/e/e/e/e,a/c/c/c/c/e,a/c/c/c/c/e,a/c/e/e/e/e,c/e/e/e/e/e,.
e/e/e/e/e/e,e/e/e/e/e/e,a/c/c/c/e/e,a/c/c/c/e/e,e/e/e/e/e/e,e/e/e/e/e/e,
c/e/e/e/e/e,a/c/e/e/e/e,a/c/c/e/e/e,a/c/c/e/e/e,a/c/e/e/e/e,c/e/e/e/e/e,
e/e/e/e/e/e,e/e/e/e/e/e,a/a/c/e/e/e,a/a/c/e/e/e,e/e/e/e/e/e,e/e/e/e/e/e,
